country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB","27-11-2025 09:00:00",25.42742023,86.13886079,NH3,4,5,5
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB","27-11-2025 09:00:00",26.80365,84.51954,PM2.5,41,223,102
India,Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB","27-11-2025 09:00:00",25.251013,86.989001,NO2,6,11,8
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB","27-11-2025 09:00:00",25.265194,87.012947,PM2.5,54,113,80
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB","27-11-2025 09:00:00",25.265194,87.012947,NH3,8,15,11
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB","27-11-2025 09:00:00",25.265194,87.012947,SO2,40,72,54
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB","27-11-2025 09:00:00",25.265194,87.012947,CO,58,103,77
India,Bihar,"Bihar Sharif","D M Colony, Bihar Sharif - BSPCB","27-11-2025 09:00:00",25.204762,85.514960,PM2.5,41,200,96
India,Bihar,"Bihar Sharif","D M Colony, Bihar Sharif - BSPCB","27-11-2025 09:00:00",25.204762,85.514960,SO2,10,10,10
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB","27-11-2025 09:00:00",16.536107,80.594233,SO2,9,17,11
India,Andhra_Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB","27-11-2025 09:00:00",16.554731,80.649110,SO2,11,29,18
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","27-11-2025 09:00:00",17.72,83.3,PM2.5,NA,NA,NA
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","27-11-2025 09:00:00",17.72,83.3,PM10,NA,NA,NA
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","27-11-2025 09:00:00",17.72,83.3,SO2,NA,NA,NA
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB","27-11-2025 09:00:00",27.103358,93.679645,SO2,8,9,8
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA","27-11-2025 09:00:00",26.071318,91.87488,PM2.5,NA,NA,NA
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA","27-11-2025 09:00:00",26.987634,94.636574,SO2,8,11,9
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB","27-11-2025 09:00:00",26.146529,87.454184,PM2.5,45,233,149
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB","27-11-2025 09:00:00",26.146529,87.454184,CO,2,34,33
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB","27-11-2025 09:00:00",25.5626095,84.663264,PM2.5,37,257,154
India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB","27-11-2025 09:00:00",24.75746,84.366208,PM2.5,NA,NA,NA
India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB","27-11-2025 09:00:00",25.42742023,86.13886079,PM10,25,146,50
India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB","27-11-2025 09:00:00",25.7808257,84.7446768,PM10,31,105,71
India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB","27-11-2025 09:00:00",25.7808257,84.7446768,NH3,4,6,5
India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB","27-11-2025 09:00:00",25.7808257,84.7446768,OZONE,18,243,36
India,Bihar,Gaya,"Collectorate, Gaya - BSPCB","27-11-2025 09:00:00",24.7955,84.9994,PM2.5,36,288,129
India,Bihar,Gaya,"Collectorate, Gaya - BSPCB","27-11-2025 09:00:00",24.7955,84.9994,OZONE,19,62,20
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB","27-11-2025 09:00:00",24.792403,84.992416,NH3,NA,NA,NA
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB","27-11-2025 09:00:00",24.792403,84.992416,CO,NA,NA,NA
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB","27-11-2025 09:00:00",24.762518,84.982348,PM10,42,75,60
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB","27-11-2025 09:00:00",25.697189,85.245900,SO2,3,6,4
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB","27-11-2025 09:00:00",25.560083,87.553265,NO2,11,20,16
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB","27-11-2025 09:00:00",25.560083,87.553265,NH3,1,1,1
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB","27-11-2025 09:00:00",26.0881305,87.93840336,PM2.5,40,50,44
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB","27-11-2025 09:00:00",26.0881305,87.93840336,SO2,6,10,8
India,Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB","27-11-2025 09:00:00",27.308328,84.531742,PM10,35,184,76
India,Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA","27-11-2025 09:00:00",26.071318,91.87488,SO2,NA,NA,NA
India,Assam,Guwahati,"IITG, Guwahati - PCBA","27-11-2025 09:00:00",26.2028636,91.70046436,NH3,5,5,5
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA","27-11-2025 09:00:00",26.10887,91.589544,CO,8,60,36
India,Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA","27-11-2025 09:00:00",26.187500,91.744194,PM10,18,91,51
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA","27-11-2025 09:00:00",26.181742,91.78063,NO2,3,4,3
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA","27-11-2025 09:00:00",26.181742,91.78063,SO2,32,35,33
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB","27-11-2025 09:00:00",14.465052,78.824187,PM10,56,79,75
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB","27-11-2025 09:00:00",14.465052,78.824187,NH3,3,4,4
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB","27-11-2025 09:00:00",14.465052,78.824187,CO,26,46,39
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB","27-11-2025 09:00:00",14.465052,78.824187,OZONE,29,31,30
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","27-11-2025 09:00:00",16.9872867,81.7363176,OZONE,13,38,16
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB","27-11-2025 09:00:00",13.67,79.35,PM10,62,112,93
India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB","27-11-2025 09:00:00",26.63086,84.90051,PM2.5,18,220,111
India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB","27-11-2025 09:00:00",26.63086,84.90051,OZONE,2,5,2
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB","27-11-2025 09:00:00",26.11442,85.39813,PM2.5,68,207,142
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB","27-11-2025 09:00:00",26.11442,85.39813,NH3,7,10,9
India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB","27-11-2025 09:00:00",26.1403345,85.3650192,SO2,9,15,10
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","27-11-2025 09:00:00",16.5150833,80.5181667,NO2,20,53,29
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","27-11-2025 09:00:00",16.5150833,80.5181667,SO2,9,12,10
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","27-11-2025 09:00:00",16.5150833,80.5181667,OZONE,32,58,47
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB","27-11-2025 09:00:00",14.675886,77.593027,NO2,15,25,16
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB","27-11-2025 09:00:00",14.675886,77.593027,CO,22,34,26
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA","27-11-2025 09:00:00",26.349082,92.68449,PM2.5,45,62,55
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA","27-11-2025 09:00:00",26.349082,92.68449,SO2,11,14,13
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA","27-11-2025 09:00:00",26.349082,92.68449,OZONE,9,9,9
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB","27-11-2025 09:00:00",25.599486,85.113666,PM10,65,150,97
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB","27-11-2025 09:00:00",25.599486,85.113666,NO2,11,247,96
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB","27-11-2025 09:00:00",25.599486,85.113666,SO2,7,8,8
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB","27-11-2025 09:00:00",25.599486,85.113666,OZONE,22,29,26
India,Bihar,Patna,"Samanpura, Patna - BSPCB","27-11-2025 09:00:00",25.596727,85.085624,CO,2,116,53
India,Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB","27-11-2025 09:00:00",25.366336,87.117468,PM2.5,33,140,85
India,Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB","27-11-2025 09:00:00",25.366336,87.117468,PM10,29,103,71
India,Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB","27-11-2025 09:00:00",25.366336,87.117468,SO2,10,21,17
India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB","27-11-2025 09:00:00",26.1403345,85.3650192,OZONE,16,65,38
India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB","27-11-2025 09:00:00",26.1209,85.3647,OZONE,8,56,50
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB","27-11-2025 09:00:00",25.586562,85.043586,SO2,7,12,9
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB","27-11-2025 09:00:00",25.592539,85.227158,CO,48,165,108
India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB","27-11-2025 09:00:00",25.610369,85.132568,CO,34,67,66
India,Chhattisgarh,Raipur,"Bhatagaon New ISBT, Raipur - CECB","27-11-2025 09:00:00",21.219665,81.630094,PM2.5,NA,NA,NA
India,Chhattisgarh,Raipur,"Bhatagaon New ISBT, Raipur - CECB","27-11-2025 09:00:00",21.219665,81.630094,OZONE,NA,NA,NA
India,Chhattisgarh,Raipur,"Siltara Phase-II, Raipur - CECB","27-11-2025 09:00:00",21.371751,81.664929,NH3,3,3,3
India,Chhattisgarh,Tumidih,"OP Jindal Industrial Park, Tumidih - CECB","27-11-2025 09:00:00",22.06631475,83.33820077,NH3,1,2,2
India,Chhattisgarh,Tumidih,"OP Jindal Industrial Park, Tumidih - CECB","27-11-2025 09:00:00",22.06631475,83.33820077,SO2,5,8,6
India,Delhi,Delhi,"Alipur, Delhi - DPCC","27-11-2025 09:00:00",28.815329,77.153010,PM2.5,197,473,356
India,Chhattisgarh,Bhilai,"Hathkhoj, Bhilai - CECB","27-11-2025 09:00:00",21.224231,81.408350,NH3,4,6,4
India,Chhattisgarh,Bilaspur,"Mangala, Bilaspur - NTPC","27-11-2025 09:00:00",22.08815,82.13737,CO,4,101,24
India,Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB","27-11-2025 09:00:00",22.118125,83.140608,NH3,5,5,5
India,Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB","27-11-2025 09:00:00",22.118125,83.140608,SO2,3,35,15
India,Chhattisgarh,Korba,"Rampur, Korba - CECB","27-11-2025 09:00:00",22.368195,82.746431,PM10,72,86,85
India,Chhattisgarh,Korba,"Rampur, Korba - CECB","27-11-2025 09:00:00",22.368195,82.746431,NO2,16,24,19
India,Delhi,Delhi,"Alipur, Delhi - DPCC","27-11-2025 09:00:00",28.815329,77.153010,NH3,17,20,18
India,Delhi,Delhi,"Alipur, Delhi - DPCC","27-11-2025 09:00:00",28.815329,77.153010,SO2,5,22,13
India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC","27-11-2025 09:00:00",28.647622,77.3158090,NH3,12,22,16
India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC","27-11-2025 09:00:00",28.695381,77.181665,CO,8,157,96
India,Delhi,Delhi,"Bawana, Delhi - DPCC","27-11-2025 09:00:00",28.776200,77.051074,PM2.5,240,500,415
India,Delhi,Delhi,"Bawana, Delhi - DPCC","27-11-2025 09:00:00",28.776200,77.051074,PM10,155,500,365
India,Delhi,Delhi,"Bawana, Delhi - DPCC","27-11-2025 09:00:00",28.776200,77.051074,OZONE,4,168,6
India,Bihar,Saharsa,"Police Line, Saharsa - BSPCB","27-11-2025 09:00:00",25.892357,86.590325,OZONE,2,31,14
India,Bihar,Samastipur,"DM Office_Kasipur, Samastipur - BSPCB","27-11-2025 09:00:00",25.859655,85.77944,OZONE,8,9,8
India,Bihar,Sasaram,"Dada Peer, Sasaram - BSPCB","27-11-2025 09:00:00",24.952822,84.002396,CO,50,56,52
India,Bihar,Siwan,"Chitragupta Nagar, Siwan - BSPCB","27-11-2025 09:00:00",26.2271665,84.3570427,NH3,1,1,1
India,Bihar,Siwan,"Chitragupta Nagar, Siwan - BSPCB","27-11-2025 09:00:00",26.2271665,84.3570427,OZONE,7,8,7
India,Chhattisgarh,Kunjemura,"OP Jindal School, Kunjemura - CECB","27-11-2025 09:00:00",22.126650,83.483212,PM2.5,43,67,53
India,Chhattisgarh,Kunjemura,"OP Jindal School, Kunjemura - CECB","27-11-2025 09:00:00",22.126650,83.483212,PM10,47,158,92
India,Chhattisgarh,Kunjemura,"OP Jindal School, Kunjemura - CECB","27-11-2025 09:00:00",22.126650,83.483212,NH3,2,2,2
India,Chhattisgarh,Raipur,"AIIMS, Raipur - CECB","27-11-2025 09:00:00",21.258815,81.578979,PM10,13,118,89
India,Chhattisgarh,Raipur,"AIIMS, Raipur - CECB","27-11-2025 09:00:00",21.258815,81.578979,NH3,1,4,2
India,Chhattisgarh,Raipur,"AIIMS, Raipur - CECB","27-11-2025 09:00:00",21.258815,81.578979,OZONE,NA,NA,NA
India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM","27-11-2025 09:00:00",28.656756,77.227234,SO2,8,32,17
India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM","27-11-2025 09:00:00",28.656756,77.227234,CO,104,127,119
India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC","27-11-2025 09:00:00",28.498571,77.264840,PM10,145,415,264
India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC","27-11-2025 09:00:00",28.498571,77.264840,NO2,90,165,118
India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC","27-11-2025 09:00:00",28.498571,77.264840,CO,34,138,100
India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC","27-11-2025 09:00:00",30.751462,76.762879,PM2.5,69,230,145
India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC","27-11-2025 09:00:00",30.751462,76.762879,SO2,5,17,9
India,Chandigarh,Chandigarh,"Sector-53, Chandigarh - CPCC","27-11-2025 09:00:00",30.719859,76.738637,SO2,4,73,16
India,Chhattisgarh,Bhilai,"32Bungalows, Bhilai - CECB","27-11-2025 09:00:00",21.194815,81.314770,PM10,66,127,89
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC","27-11-2025 09:00:00",28.732820,77.170633,NO2,114,170,145
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC","27-11-2025 09:00:00",28.732820,77.170633,NH3,7,11,9
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC","27-11-2025 09:00:00",28.732820,77.170633,SO2,17,57,34
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC","27-11-2025 09:00:00",28.732820,77.170633,OZONE,3,205,5
India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC","27-11-2025 09:00:00",28.580280,77.233829,OZONE,3,285,3
India,Delhi,Delhi,"Lodhi Road, Delhi - IITM","27-11-2025 09:00:00",28.588333,77.221667,SO2,8,25,18
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC","27-11-2025 09:00:00",28.611281,77.237738,PM2.5,207,382,304
India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC","27-11-2025 09:00:00",28.636429,77.201067,PM10,109,426,254
India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC","27-11-2025 09:00:00",28.636429,77.201067,NO2,44,168,116
India,Gujarat,Ahmedabad,"Maninagar, Ahmedabad - GPCB","27-11-2025 09:00:00",23.002657,72.591912,PM10,75,140,108
India,Gujarat,Ahmedabad,"Maninagar, Ahmedabad - GPCB","27-11-2025 09:00:00",23.002657,72.591912,NO2,59,60,60
India,Gujarat,Ahmedabad,"Maninagar, Ahmedabad - GPCB","27-11-2025 09:00:00",23.002657,72.591912,SO2,36,63,50
India,Gujarat,Ahmedabad,"Maninagar, Ahmedabad - GPCB","27-11-2025 09:00:00",23.002657,72.591912,CO,14,52,35
India,Gujarat,Ahmedabad,"Maninagar, Ahmedabad - GPCB","27-11-2025 09:00:00",23.002657,72.591912,OZONE,23,118,66
India,Gujarat,Ahmedabad,"Raikhad, Ahmedabad - IITM","27-11-2025 09:00:00",23.020509,72.579261,PM10,143,233,173
India,Gujarat,Ahmedabad,"Raikhad, Ahmedabad - IITM","27-11-2025 09:00:00",23.020509,72.579261,NH3,2,5,3
